

*******************************************************************************
Ephemeris / WWW_USER Wed Apr 24 00:30:52 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Juno (spacecraft) (-61)         {source: juno_merged_DE436}
Center body name: Jupiter (599)                   {source: juno_merged_DE436}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2016-Aug-01 00:00:00.0000 TDB
Stop  time      : A.D. 2016-Sep-23 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {W-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {W-lon(deg),Dxy(km),Dz(km)}
Center radii    : 71492.0, 71492.0, 66854.0 km    {Equator_a, b, pole_c}
Keplerian GM    : 1.2668653190037040E+08 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)
Calendar mode   : Gregorian
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457601.500000000, A.D. 2016-Aug-01 00:00:00.0000,  9.816040677597566E-01,  7.523447065493194E+04,  9.078770416136898E+01,  2.692375836845990E+02,  1.746795591528080E+02,  2.457628045178078E+06,  7.797318123769244E-05,  1.811682448198051E+02,  1.800568037528765E+02,  4.089734060356432E+06,  8.104233650057932E+06,  4.616972070211944E+06,
2457601.541666667, A.D. 2016-Aug-01 01:00:00.0000,  9.816038583053908E-01,  7.523532782516853E+04,  9.077991457568376E+01,  2.692383004398883E+02,  1.746796642438748E+02,  2.457628045470377E+06,  7.797318037088242E-05,  1.814469810718684E+02,  1.800703578584768E+02,  4.089734090666191E+06,  8.104232853507213E+06,  4.616972121537767E+06,
2457601.583333333, A.D. 2016-Aug-01 02:00:00.0000,  9.816037095422352E-01,  7.523593580407283E+04,  9.077185630554798E+01,  2.692390399838035E+02,  1.746797387526301E+02,  2.457628045667998E+06,  7.797318102822592E-05,  1.817263516711132E+02,  1.800839432478559E+02,  4.089734067680851E+06,  8.104232199557628E+06,  4.616972082614941E+06,
2457601.625000000, A.D. 2016-Aug-01 03:00:00.0000,  9.816036217740647E-01,  7.523629438961488E+04,  9.076375555985389E+01,  2.692397814816820E+02,  1.746797821579882E+02,  2.457628045770641E+06,  7.797318159243195E-05,  1.820063623390224E+02,  1.800975602143919E+02,  4.089734047952251E+06,  8.104231801514886E+06,  4.616972049206999E+06,
2457601.666666667, A.D. 2016-Aug-01 04:00:00.0000,  9.816035936359626E-01,  7.523641017658946E+04,  9.075587887308211E+01,  2.692405005806399E+02,  1.746797947516173E+02,  2.457628045780592E+06,  7.797318048928328E-05,  1.822870012654553E+02,  1.801112082044457E+02,  4.089734086526067E+06,  8.104231762875544E+06,  4.616972114526980E+06,
2457601.708333333, A.D. 2016-Aug-01 05:00:00.0000,  9.816036223264080E-01,  7.523629554427115E+04,  9.074848827880008E+01,  2.692411735294984E+02,  1.746797776732129E+02,  2.457628045702631E+06,  7.797317628577811E-05,  1.825682394983798E+02,  1.801248858384913E+02,  4.089734233510103E+06,  8.104232171475934E+06,  4.616972363426243E+06,
2457601.750000000, A.D. 2016-Aug-01 06:00:00.0000,  9.816037036724001E-01,  7.523596834402347E+04,  9.074183141093870E+01,  2.692417780736843E+02,  1.746797328406001E+02,  2.457628045543768E+06,  7.797316776168137E-05,  1.828500325442400E+02,  1.801385909912121E+02,  4.089734531572377E+06,  8.104233094800730E+06,  4.616972868157809E+06,
2457601.791666667, A.D. 2016-Aug-01 07:00:00.0000,  9.816038322393242E-01,  7.523545140660292E+04,  9.073613299512751E+01,  2.692422942120363E+02,  1.746796628865609E+02,  2.457628045313015E+06,  7.797315397693277E-05,  1.831323217687625E+02,  1.801523208615328E+02,  4.089735013584093E+06,  8.104234575761584E+06,  4.616973684385022E+06,
